w1: 1, w2: 20, w3: 20, total_distance=10015, beds_changed=1, not_ideal=108

w1: 1, w2: 20, w3: 15, total_distance=9380, beds_changed=0, not_ideal=151

w1: 1, w2: 20, w3: 10, total_distance=8770, beds_changed=0, not_ideal=197

w1: 1, w2: 15, w3: 60, total_distance=12170, beds_changed=3, not_ideal=56

w1: 1, w2: 15, w3: 55, total_distance=11290, beds_changed=1, not_ideal=74

w1: 1, w2: 15, w3: 50, total_distance=10945, beds_changed=3, not_ideal=79

w1: 1, w2: 15, w3: 45, total_distance=10945, beds_changed=3, not_ideal=79

w1: 1, w2: 15, w3: 40, total_distance=10405, beds_changed=2, not_ideal=93

w1: 1, w2: 15, w3: 35, total_distance=10405, beds_changed=2, not_ideal=93

w1: 1, w2: 15, w3: 30, total_distance=10125, beds_changed=2, not_ideal=102

w1: 1, w2: 15, w3: 25, total_distance=9945, beds_changed=2, not_ideal=108

w1: 1, w2: 15, w3: 20, total_distance=9945, beds_changed=2, not_ideal=108

w1: 1, w2: 15, w3: 15, total_distance=9085, beds_changed=1, not_ideal=166

w1: 1, w2: 15, w3: 10, total_distance=8770, beds_changed=0, not_ideal=197

w1: 1, w2: 10, w3: 60, total_distance=12170, beds_changed=3, not_ideal=56

w1: 1, w2: 10, w3: 55, total_distance=11510, beds_changed=3, not_ideal=68

w1: 1, w2: 10, w3: 50, total_distance=10920, beds_changed=4, not_ideal=79

w1: 1, w2: 10, w3: 45, total_distance=10920, beds_changed=4, not_ideal=79

w1: 1, w2: 10, w3: 40, total_distance=10500, beds_changed=2, not_ideal=90

w1: 1, w2: 10, w3: 35, total_distance=10405, beds_changed=2, not_ideal=93

w1: 1, w2: 10, w3: 30, total_distance=9935, beds_changed=2, not_ideal=108

w1: 1, w2: 10, w3: 25, total_distance=9935, beds_changed=2, not_ideal=108

w1: 1, w2: 10, w3: 20, total_distance=9935, beds_changed=2, not_ideal=108

w1: 1, w2: 10, w3: 15, total_distance=9235, beds_changed=1, not_ideal=156

w1: 1, w2: 10, w3: 10, total_distance=8845, beds_changed=1, not_ideal=185

w1: 1, w2: 5, w3: 60, total_distance=12130, beds_changed=5, not_ideal=56

w1: 1, w2: 5, w3: 55, total_distance=11470, beds_changed=5, not_ideal=68

w1: 1, w2: 5, w3: 50, total_distance=10895, beds_changed=5, not_ideal=79

w1: 1, w2: 5, w3: 45, total_distance=10895, beds_changed=5, not_ideal=79

w1: 1, w2: 5, w3: 40, total_distance=10920, beds_changed=4, not_ideal=79

w1: 1, w2: 5, w3: 35, total_distance=10385, beds_changed=3, not_ideal=93

w1: 1, w2: 5, w3: 30, total_distance=9935, beds_changed=2, not_ideal=108

w1: 1, w2: 5, w3: 25, total_distance=9935, beds_changed=2, not_ideal=108

w1: 1, w2: 5, w3: 20, total_distance=9935, beds_changed=2, not_ideal=108

w1: 1, w2: 5, w3: 15, total_distance=9215, beds_changed=2, not_ideal=156

w1: 1, w2: 5, w3: 10, total_distance=8755, beds_changed=2, not_ideal=190

w1: 1, w2: 0, w3: 60, total_distance=12545, beds_changed=18, not_ideal=48

w1: 1, w2: 0, w3: 55, total_distance=12105, beds_changed=19, not_ideal=56

w1: 1, w2: 0, w3: 50, total_distance=11115, beds_changed=19, not_ideal=74

w1: 1, w2: 0, w3: 45, total_distance=10885, beds_changed=16, not_ideal=79

w1: 1, w2: 0, w3: 40, total_distance=10885, beds_changed=18, not_ideal=79

w1: 1, w2: 0, w3: 35, total_distance=10620, beds_changed=16, not_ideal=86

w1: 1, w2: 0, w3: 30, total_distance=10205, beds_changed=18, not_ideal=99

w1: 1, w2: 0, w3: 25, total_distance=9845, beds_changed=19, not_ideal=111

w1: 1, w2: 0, w3: 20, total_distance=9845, beds_changed=15, not_ideal=111

w1: 1, w2: 0, w3: 15, total_distance=9125, beds_changed=19, not_ideal=159

w1: 1, w2: 0, w3: 10, total_distance=8545, beds_changed=19, not_ideal=209
