,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,13,89,795
1,2,0,13,89,795
2,4,0,14,90,805
3,6,0,14,92,840
4,8,3,14,92,840
5,10,3,12,88,800
6,12,3,13,82,715
7,14,3,13,85,750
8,16,3,13,84,745
9,18,3,13,86,775
10,20,1,12,82,685
11,22,0,10,82,700
