,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,14,89,780
1,2,0,14,89,780
2,4,0,15,90,790
3,6,0,15,92,825
4,8,0,15,92,825
5,10,0,13,88,785
6,12,0,14,82,700
7,14,1,15,85,705
8,16,0,15,84,700
9,18,1,15,86,730
10,20,1,13,82,670
11,22,0,11,82,685
