,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,17,89,745
1,2,0,17,89,745
2,4,0,18,90,755
3,6,0,18,92,790
4,8,0,18,92,790
5,10,0,17,88,745
6,12,0,18,82,660
7,14,1,19,85,665
8,16,0,19,84,660
9,18,0,19,86,685
10,20,0,18,82,635
11,22,0,16,82,650
