,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,9,89,855
1,2,0,9,89,855
2,4,0,10,90,865
3,6,0,10,92,900
4,8,0,10,92,900
5,10,1,8,88,860
6,12,3,9,82,775
7,14,3,9,85,810
8,16,0,9,84,805
9,18,3,9,86,835
10,20,1,9,82,730
11,22,0,7,82,745
