,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,6,89,965
1,2,0,6,89,965
2,4,0,7,90,975
3,6,0,7,92,1010
4,8,2,7,92,1010
5,10,3,6,88,930
6,12,3,6,82,860
7,14,3,6,85,905
8,16,3,6,84,900
9,18,3,6,86,935
10,20,1,6,82,835
11,22,1,5,82,825
