,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,8,89,885
1,2,0,8,89,885
2,4,0,9,90,895
3,6,0,9,92,930
4,8,0,9,92,930
5,10,0,7,88,890
6,12,1,7,82,835
7,14,0,7,85,870
8,16,0,7,84,865
9,18,2,8,86,865
10,20,0,8,82,760
11,22,0,6,82,775
