,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,8,89,885
1,2,0,8,89,885
2,4,0,9,90,895
3,6,0,9,92,930
4,8,3,9,92,930
5,10,3,7,88,890
6,12,3,8,82,805
7,14,2,8,85,840
8,16,3,8,84,835
9,18,3,9,86,835
10,20,0,9,82,730
11,22,1,7,82,745
