,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,16,89,755
1,2,0,16,89,755
2,4,0,17,90,765
3,6,0,17,92,800
4,8,0,17,92,800
5,10,0,16,88,755
6,12,0,17,82,670
7,14,1,18,85,675
8,16,0,18,84,670
9,18,0,18,86,695
10,20,0,17,82,645
11,22,0,15,82,660
