,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,16,89,755
1,2,0,16,89,755
2,4,0,17,90,765
3,6,0,17,92,800
4,8,3,17,92,800
5,10,3,16,88,755
6,12,3,18,82,660
7,14,3,19,85,665
8,16,3,19,84,660
9,18,3,19,86,685
10,20,1,18,82,630
11,22,1,16,82,645
