,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,13,89,795
1,2,0,13,89,795
2,4,0,14,90,805
3,6,0,14,92,840
4,8,0,14,92,840
5,10,0,12,88,805
6,12,0,13,82,720
7,14,1,14,85,725
8,16,0,14,84,720
9,18,0,14,86,745
10,20,1,13,82,670
11,22,0,11,82,685
