,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,15,89,765
1,2,0,15,89,765
2,4,0,16,90,775
3,6,0,16,92,810
4,8,3,16,92,810
5,10,3,13,88,785
6,12,3,14,82,700
7,14,3,14,85,735
8,16,3,14,84,730
9,18,3,14,86,760
10,20,1,13,82,670
11,22,1,11,82,685
