,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,13,89,795
1,2,0,13,89,795
2,4,0,14,90,805
3,6,0,14,92,840
4,8,3,14,92,840
5,10,3,12,88,800
6,12,3,13,82,715
7,14,3,14,85,720
8,16,3,14,84,715
9,18,3,14,86,745
10,20,1,12,82,685
11,22,1,10,82,700
