,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,11,89,825
1,2,0,11,89,825
2,4,0,12,90,835
3,6,0,12,92,870
4,8,0,12,92,870
5,10,0,11,88,820
6,12,0,12,82,735
7,14,1,13,85,740
8,16,0,13,84,735
9,18,0,13,86,760
10,20,1,12,82,685
11,22,0,10,82,700
