,time,changes_per_block,not_ideals_per_block,patients_per_block,dist_per_block
0,0,0,12,89,810
1,2,0,12,89,810
2,4,0,13,90,820
3,6,0,13,92,855
4,8,0,13,92,855
5,10,0,11,88,815
6,12,0,12,82,730
7,14,1,13,85,735
8,16,0,13,84,730
9,18,1,13,86,760
10,20,1,12,82,685
11,22,0,10,82,700
